NRfMdZUPYGeFBAQLICKEagTcJWVSDHbXO,QDACLAFBCBACKEGFEEEH....TAECJBDH...SDCHhAAAHFBAOHACfCDDhABAMDADdEHEZGCE.hAAAYHEGeHDGABFHIAHCcBGGDBBC.XDGAhACA...hABA...,1,-2,-30,28
SJdGRKODNLWcEbXFIZCYBVHPTAUQeafMg,UDCHQGGDeDHF.aBFHMHDE..JFAGGBEHRAAB.DGAELEEBhAAAECAC.FBHBIAHFhAAACEGGBADA.HACAADIHSCDFhACAODFH.NIAF.......hADA......hAFA...,1,-14,-24,10
IMAeJOYEgHbZaUKXSLWTdBGCfVQcRNPDF,OAABEHBGHAFBZEACUEEAKDEE.LDCF.dAACCDCGQEGAhABARGFA.DFFDFBDFABECeHBGhACAJDHH...bBDCSEADhACA.BDABfAGE.hADA......hAEA...,2,-28,-15,13
LHeBcYOJGdCPRaTWQIDMZbXfVNFUASEgK,SAFBEAFBKDGB.eEADBFEF..OAABdDBCCBACRFCB..TGFGhABAQGGGMFEHbFBFhACA..VBCAFDEAADCC.hAAA............hABA......hACA...,1,-20,-39,19
EMWBcZAJXYfgIdSCFDaRPKVNeLUbHGOQT,JDACXCBC....fABEdHBHCEHHaBGE.KEAD..eFEBhAAALBHFHFACODFGhABAEFEABFBHZFFFAHFHIHGEhAAADADE...RGBA.NBBB......hACA......hADA...,2,-40,-14,26
ESWRVbJKAaZFUTQXGNedDfIPHCcBMLYgO,aEHBUCCB.QGEGGBCCdEFEDCFG..IGBFHGBGCCAFBABGhAAAMADELAAFOAFCSEFEhACAVBFEKFDBAIHCFFAEhADA...XGGF.....hACA......hAHA...,2,-23,-15,8
JMZCBfPOGRSQVLaIAEXNTKdgFcWeHDUbY,XGBCKGFCFDCE..eAACDBDHUEAD..JFDDZFFHBAFEOABFhAAARBEB.QBEFhABA.LEEEABHAEBCA.hAAA.dHFHcGDAHEAEMCIFCAHC.fHAFhAEA....hAHA...,1,-16,-28,12
gWOaVfTLKGCUJFHASRDYdXBeIMcNbZEPQ,RFFADGHHdGCBBHBB..eACBMFID....bAGFZCCH.QCFGhAAAOEDC.aFABTAEAhAAALABDKDABCHHGJAEC.hABAFHEEAECF...SBED...hADA......hAEA...,2,-30,-27,3
bCWAPDGXVNfgRTdMZHeJQKYcEOaIUBFSL,DCECXCCF..fFEARAFCdGACZEBFHDGHeBAG.KGHB.EACAIFHHhAAA.BGBEhABALFDECEBHAEACGDEFhACANBAG.MIBA.JAHDcGDEaADC....hAAA......hABA...,2,-20,-16,4
ZBQDgeASMXNHIabcWLTfYdCFVGRPKEJOU,MAEDHEFHaFBE....bEEBLHEA.fDDBhAAACGBCFBBBVBFEPBCCKHGA.EAFGhABAJEGDUDAABAFFDDIFADCD.hAAA.SCADIHAF.....WHAAhABA.....hACA...,2,-28,-14,14
KTMSadYLDQBVceWCJGZOgIfPUFAbXERHN,EGFCRGFGKECD..MDDDdBEADIEEBDHE...eCBHCCCEZBFDOHBG.hAAA..fEFAhAAAFFAHACID.HABCSBABhABAaAGAQAEC..WACC..hAGA......hAHA...,1,-11,-50,39
JcOeBCUgAKfIQabMHZTGDXdVNSYRFLPWE,KHBGQCBCMAGBZDGBGDEC.dDHASDDBFGGBLADCEGHF.hAAA...OFCChABACHBGgFBBAFACaCBBTADEhACADAACXGDD.......hADA......hAFA...,2,-32,-15,17
IBMZROLGJeWfKFANQgDdbVHTPSaCXYcEU,QCBCDGHHdADEHDDGSACCCFBB..XAFBEGBBBDHEMBADhAAAOFDGLCHHhABAeHEAKDEAAGFA..bFCDPAEChAAA.aGCFYBBF....hACA......hAIA...,1,-17,-26,9
QARDETKWgCSBHXZMcfNOeJPLVbUGYaFdI,DGDETFCEKDAF...CBHCBBFAZCFBMDIH....fADGhAAAOBDAJECGLDCAhABA.bFADUABG.aHGGhAAAIFHBAHEF.WAFC.SCBEhACAXGAB.cGFC.hAEA...,2,-43,-20,23
SMdHOPBWcITCgQGXaFRfYVKLZEDeAUbNJ,UCBCJGEA.dCFBHDABBAGF..IBAACEDA.QADFhAAAaGFE.FAHHRFAD...fDFChABAKAAGEADGAHIF.SDDBhACAODHD.cDGD.TGBChAEAXGDF....hAAA...,2,-46,-8,38
OUZDXPIeJdGBfKMRTSaEQWAVbgLNcFHYC,VAADLGEA.FFAACAGBZEDFDABE....XBDEeFFGGDBEhAAABAECKEFHTADA.EBGBhACAADDC....bGAG.hADA.NIDF...cCBH.....hAFA......hAIA...,1,-19,-44,25
fPOFZCUbNJGLVHSEcAaWMYIDKQRgXTBde,aGFHMCCA.DFGBRCBF....XFADBBHCeACEOEDACDEG.UAEFhAAAJGAA.LDHBHAAEEFHFhAAAAAIF....YBAEhABAQGDC........hAFA......hAGA...,1,-23,-36,13
MCacQDZLWfGEgXAPNSITBFOVJdeHUKbRY,SHBGBHHGODAAdBAFUEGEREGF..MAHFCCGC...QEBGhAAAZFAFLDEHGBDGhABAEACBAAACIAFD.hADATGDFJAEEHFCFKEAD.......hACA......hADA...,1,-14,-28,14
WKLeagRPOfbGNEUdBTIHYSCJZXMADcQFV,DAFBFGFCKHDAeCAB.RBCB.OCBCGEGA.UGAFBAFB..HFDBSEEGhAAACFFCZCFE.AIHE..hAAAQEBA.hABALDHF.aABC...fBGFhACA.EADE.dHAFhAHA...,1,-22,-32,10
XVGFeREIDZcHJTUMAPSfLYKaCgdbOQNBW,SHBGLGEAKCABCEFD.dAHA..QAAABHBA..XFBAhAAAFGDEEDBADBDAHCEHTGGAhAAAAEID..fACDhABAaCFAOAFGNEAE......WCCFhAEAeDEE.ZEAE...hAFA...,1,-8,-38,30
DELbAZVdfQOcPeaSXUKBNYJFGMHTRCIgW,VDDFQGBC.OEHHeAFD..SBBGXGEGBCDBhAAAJHCAFACCHBFC.RDEFCEBBIAGChAAADABCEAEAAIHEfGFHhABAaCBCKEAD.NAIEGEAE....hAEA......hBAA...,2,-23,-7,16
MDLdSEfHATUcGYXVaCPeFJgQNRWOZBIKb,TCGCUFGHGEBF..XFAFCAABFCBC.QFDCRAGHZADEBEGEhACAbCBA.LAAEhAEAdCEE.EHFAAIEG.VAEEaDAC.hADAJFFA.NIAF.....OFAHIBBAhAHADCIB......hAIA...,1,2,-23,25
KQgGAPHJaBfYVbDITCUZceLXdMFSWOREN,HFDFBDGF.VEBFDCCACFBHZAEB.LCAEdFAG.MFIHSFDHhAAA.RAEA.KABEGDBFhABAPBHH.aFFC.fHFFhAAAYFGDICAE....hACA......hADA...,1,-6,-44,38
ecWSUIOEXDVFQNbfgRLTPCZAGHJKYaBMd,GGDHHDEDKDAABHACdBGHeABGSBGD.OCEHXDGDDFBGFEGFhAAAQGGE.hABANGAF.gABHhAEALCDDPHAAAGIBaAFAMIBCWAFC.EBBB...hAIA......hBAA...,2,-27,3,30
QNbcdRIgPWVeTYCKJFMZUALHGaBfEDXOS,LEGHGBCHBBAADGDAOEAESEHB.QGDB.hAAA.NEIEdABFIGBChAAAgCBCPDABeHDGhAEATEFDCBGG.JDDFMDEAAIBAfABBEAEF.hAGA......hAHA...,2,-28,-11,17
NXLKTIWHOcVEdgSDUZRbFQfCaMABePGJY,BAFBGECFJADB..XCGGLABDTGBEHEDA...OACBhAAAVFBHdAHEDBEGUGGChABARCEE.FAHD.CFAEAHFBPEHHhAAAKDAA...........hADA......hAEA...,2,-25,-21,4
RKeNdUQLVYFTBOXaHDPEJfgZCAWMGIScb,GBGASHBGRDBBKAAFdBDCLBCCFFBG.BHAHXFECHGFGEEEBhABAJCEC..ZABDAICAMADEhACA..IAGGhAAA.eBAF.NEED........hAHA......hAIA...,1,-22,-23,1
faRGJDHWVLOFAYTPZCQEBeXdKNISgcMUb,TCBCCFDDBEFE..dBHCKAAD...SCHFMCBGUGGEaGBAGDAFhAAADFCAHAEA.LFGFhABAAFBBZADA.EHAG.eEEHhACAIHEH...bGAC....hABA......hACA...,1,-9,-37,28
JEOFULgBdNfGQbDMKRPCWceAXHISaTYZV,HEFHSAFBaCAHZGAEEEBGUBCE..BEHGdBGFGEAFQBAChAAAMFIBPEAH.CHGHeFEBhABAABAEXGDD.hACA.TDED.VACE.OHAE.hAAA......hABA...,2,-18,-1,17
HVGNgPdXcLYUDJSEaefOKbRCWZIQATFBM,TGAFMAEEHECH.GBED..PACAXBAGLHDEhAAADIEEJGEASEFDhABA.EAGBeFBBOCBGhAHAKDBECAHAIHHEFEHH.NAIAcEGAaBBA..hBAA......hBBA...,2,-22,-9,13
XEfACFdHNQGLTWSBeKUDObVIPJRagYMcZ,CEFAFEHBdFDAQABAGCAHLCHF..SEBCKGBCDAGC.hAAAbGDG..VACEIAEEhAAA.REDGaBGB.hABAMBADcGGGEGABAHHCNIBFBCFA....hACA......hAFA...,2,-28,-12,16
